"Bin","Temp_Change"
1,-0.264852216747967
2,0.0970512820512818
3,-0.0234949111609453
4,0.0822084453682239
5,0.0412279973254244
6,0.0544107243909952
7,NA
8,NA
9,0.161290322580645
